product_id,product_name,product_group,product_category,brand,base_price,margin_min,margin_max,weight_kg,warranty_months,is_active
PRD-0046,Любительский Малая техника Регина,Бытовая техника,Малая техника,ЗАО «Назаров Брагина»,80000,0.15,0.25,2.92,12,True
PRD-0047,Климатическая техника Зарплата W926,Бытовая техника,Климатическая техника,Якобс Дау Эгбертс Рус (Jacobs Douwe Egberts),15000,0.15,0.25,0.56,36,True
PRD-0048,Климатическая техника ООО «Филиппова»,Бытовая техника,Климатическая техника,РАО «Михеев»,50000,0.15,0.25,2.11,36,True
PRD-0049,Профессиональный Климатическая техника Геннадий,Бытовая техника,Климатическая техника,ЗАО «Никонова»,5000,0.15,0.25,0.4,36,True
PRD-0050,Любительский Климатическая техника Севастьян,Бытовая техника,Климатическая техника,ИП «Костин Беляков»,5000,0.15,0.25,1.32,12,True
PRD-0051,Чехлы Вчера M243,Аксессуары,Чехлы,АО «Павлова Матвеева»,15000,0.3,0.45,1.46,12,True
PRD-0052,Чехлы НПО «Артемьева»,Аксессуары,Чехлы,РАО «Власова Зимин»,5000,0.3,0.45,2.27,36,True
PRD-0053,Профессиональный Чехлы Афиноген,Аксессуары,Чехлы,РАО «Андреева Дроздова»,80000,0.3,0.45,4.2,12,False
PRD-0054,Любительский Чехлы Лавр,Аксессуары,Чехлы,ООО «Козлова Самсонов»,15000,0.3,0.45,0.91,24,True
PRD-0055,Наушники Райком Air,Аксессуары,Наушники,РАО «Агафонов-Крылова»,5000,0.3,0.45,1.96,24,True
PRD-0056,Гарнитура Колобов Инкорпорэйтед,Аксессуары,Наушники,Стрелков и партнеры,25000,0.3,0.45,1.5,36,False
PRD-0057,Беспроводные наушники Нестор,Аксессуары,Наушники,ИП «Соловьев-Пономарева»,40000,0.3,0.45,3.34,24,True
PRD-0058,"Профессиональные наушники ООО «Данилов, Большаков и Михеев»",Аксессуары,Наушники,"РАО «Беляев, Лукин и Савин»",12000,0.3,0.45,1.17,12,True
PRD-0059,Игровые наушники ОАО «Федоров-Сергеев»,Аксессуары,Наушники,НПО «Куликов»,40000,0.3,0.45,0.4,24,True
PRD-0060,Проводные наушники Арконик СМЗ,Аксессуары,Наушники,АО «Гришин»,40000,0.3,0.45,2.44,36,True
PRD-0061,Гаджеты Зачем Z620,Аксессуары,Гаджеты,"АО «Белова, Зайцев и Быков»",15000,0.3,0.45,0.44,12,True
PRD-0062,Гаджеты Белов Лимитед,Аксессуары,Гаджеты,АО «Доронина-Крюкова»,15000,0.3,0.45,2.08,36,True
PRD-0063,Профессиональный Гаджеты Евдоким,Аксессуары,Гаджеты,ИП «Кудрявцева»,80000,0.3,0.45,0.29,12,True
PRD-0064,Любительский Гаджеты Елизар,Аксессуары,Гаджеты,НПО «Горшкова Рожков»,80000,0.3,0.45,2.87,24,False
PRD-0065,Кабели Школьный S309,Аксессуары,Кабели,Гришина Лимитед,15000,0.3,0.45,1.4,12,True
PRD-0066,Кабели Селиверстова Лимитед,Аксессуары,Кабели,НПО «Давыдов-Стрелков»,30000,0.3,0.45,2.34,12,True
PRD-0067,Профессиональный Кабели Ангелина,Аксессуары,Кабели,Исаева Лимитед,80000,0.3,0.45,4.99,12,True
PRD-0068,Любительский Кабели Ян,Аксессуары,Кабели,НПО «Рябова Орлова»,15000,0.3,0.45,2.58,12,False
PRD-0069,Игровая консоль Головной 4,Игры и развлечения,Игровые консоли,ГМК Сплав,60000,0.2,0.35,1.5,24,True
PRD-0070,Портативная консоль АБ Инбев Эфес (Anheuser-Busch Inbev),Игры и развлечения,Игровые консоли,ЗАО «Кулагин-Быкова»,60000,0.2,0.35,3.1,36,True
PRD-0071,Игровой контроллер Эдуард,Игры и развлечения,Игровые консоли,"ЗАО «Тимофеев, Беляев и Макарова»",60000,0.2,0.35,4.67,12,False
PRD-0072,Бюджетная консоль д. Видное,Игры и развлечения,Игровые консоли,НПО «Лапина-Никифорова»,40000,0.2,0.35,1.4,12,True
PRD-0073,"Профессиональная консоль ИП «Гурьева, Соколов и Пахомов»",Игры и развлечения,Игровые консоли,Группа Магнезит,40000,0.2,0.35,1.43,36,True
PRD-0074,Видеоигры Ягода H451,Игры и развлечения,Видеоигры,МАКС,30000,0.2,0.35,2.58,24,False
PRD-0075,Видеоигры ООО «Кудряшова»,Игры и развлечения,Видеоигры,ЗАО «Суханов-Киселева»,5000,0.2,0.35,0.55,24,True
PRD-0076,Профессиональный Видеоигры Александра,Игры и развлечения,Видеоигры,ЗАО «Мартынова-Пономарев»,5000,0.2,0.35,0.12,12,True
PRD-0077,Любительский Видеоигры Фёкла,Игры и развлечения,Видеоигры,"АО «Харитонова, Лукин и Селиверстова»",30000,0.2,0.35,0.89,24,True
PRD-0078,Аксессуары для игр Прежде D537,Игры и развлечения,Аксессуары для игр,ОАО «Гусева-Ефремов»,5000,0.2,0.35,0.65,36,False
PRD-0079,Аксессуары для игр ЗАО «Громов-Исаев»,Игры и развлечения,Аксессуары для игр,РАО «Журавлева Сафонов»,80000,0.2,0.35,0.28,24,True
PRD-0080,Профессиональный Аксессуары для игр Герман,Игры и развлечения,Аксессуары для игр,САП СНГ (SAP),15000,0.2,0.35,2.21,12,True
PRD-0081,Любительский Аксессуары для игр Милен,Игры и развлечения,Аксессуары для игр,ЗАО «Владимиров»,5000,0.2,0.35,4.5,12,True
PRD-0082,Умные колонки Помолчать U782,Умный дом,Умные колонки,"ЗАО «Сазонова, Якушева и Крюкова»",30000,0.25,0.4,3.92,24,False
PRD-0083,Умные колонки Ершов Лимитед,Умный дом,Умные колонки,ОАО «Кулаков-Соловьев»,15000,0.25,0.4,4.64,12,True
PRD-0084,Профессиональный Умные колонки Василий,Умный дом,Умные колонки,НПО «Жукова-Туров»,15000,0.25,0.4,4.42,12,True
PRD-0085,Любительский Умные колонки Прокофий,Умный дом,Умные колонки,АО «Медведев»,30000,0.25,0.4,3.93,24,True
PRD-0086,Камеры наблюдения Правление T984,Умный дом,Камеры наблюдения,НПО «Гордеева-Евдокимов»,30000,0.25,0.4,0.88,36,True
PRD-0087,Камеры наблюдения ОАО «Фадеев»,Умный дом,Камеры наблюдения,ОАО «Гурьев»,5000,0.25,0.4,4.31,12,True
PRD-0088,Профессиональный Камеры наблюдения Савва,Умный дом,Камеры наблюдения,Нижнекамскнефтехим,50000,0.25,0.4,1.81,12,True
PRD-0089,Любительский Камеры наблюдения Денис,Умный дом,Камеры наблюдения,ОАО «Вишняков»,15000,0.25,0.4,2.05,24,True
PRD-0090,Умные устройства Вперед F891,Умный дом,Умные устройства,НПО «Суханов-Прохорова»,30000,0.25,0.4,3.24,24,True
PRD-0091,Умные устройства Фадеев Групп,Умный дом,Умные устройства,ПСК,80000,0.25,0.4,1.72,12,True
PRD-0092,Профессиональный Умные устройства Трифон,Умный дом,Умные устройства,АО «Гаврилов Филатова»,30000,0.25,0.4,0.97,24,True
PRD-0093,Любительский Умные устройства Алла,Умный дом,Умные устройства,НПО «Лебедев»,80000,0.25,0.4,2.23,36,True
